ids,month,class,title
5944,01,negative,All roads lead to Jaipur as literary heavyweights gather for Jaipur Literature Festival
1344,01,negative,Narcotics Control Bureau nabs Nigerian national with Rs one crore worth cocaine at Kolkata airport
5652,01,positive,New deadlines to revive Bellandur lake
5587,01,negative,The irony of Haryana: Rising cases of crime against women vs improving sex ratio
5068,01,negative,Padmaavat protests hit bus services in Gujarat
2934,01,negative,5 facts to know about India's first Woman Serial Killer!
4976,01,negative,Seed park to spring up on 200-acre in Medak
2828,01,negative,Cambodia-Laos Officially Sign Agreement on High Voltage Transmission Line Construction
1200,01,negative,World Bank-assisted 'SANKALP project' worth $675 mn to be implemented: FM
5516,01,negative,From farmer's land to vegetable market... Must know info about agri supply chain..! - Part 1
44,01,positive,Konark addl tehsildar attacked by timber mafia
6001,01,negative,Purandar airport plan gets Defence Ministry nod
379,01,negative,Man arrested over airport 'bomb threat' claims he was just asking for 'Bombay' flight info
4558,01,negative,"Will keep building infrastructure in Doklam, India should not comment: China"
7434,01,positive,‘Both Communities Fired at Us With Intent to Kill’: Police’s Version of Kasganj Violence
5485,01,negative,Mumbai: One-and-a-half-year-old boy dies of electrocution at Carter Road after a minor fire
591,01,positive,What we know and what we do not know about pollution in India
2515,01,negative,MEP Infrastructure Developers provides update on road project in Nagpur
2314,01,negative,Red Fort attack suspect arrested from Delhi airport
1368,01,negative,Lorain Port director says changes coming ‘On Broadway’ in 2018
3594,01,positive,Inform Jal Board about depleting water levels: NGT
3385,01,negative,Iran: Protests Unlikely To Trigger Change - OpEd
6158,01,positive,Dirty water in Delhi: NGT summons heads of civic bodies
5461,01,negative,"Doklam belongs to us and construction activity is legitimate, India shouldn’t comment: China"
4607,01,positive,Forest guides protest against UK-based NGO
5466,01,negative,Two killed as bus ploughs into vehicles lined up at signal
1831,01,negative,Govt extends deadline for linking Aadhaar with saving schemes
2289,01,negative,Government examining G-to-G deal to buy Spike missile from Israel
2628,01,negative,This 24-Year-Old Started Her Own Turmeric Business to Help Indian Farmers
4190,01,negative,"Israel to help India in agriculture, says Benjamin Netanyahu"
6056,01,negative,"News18.com Daybreak | Padmaavat Protest, Budget's Farmer Focus And Other Stories You May Have Missed"
5958,01,negative,Padmaavat protesters plan rail roko
6228,01,negative,"Indian protesters burn tires, attack shops as controversial film is released"
7238,01,negative,"Bengaluru man talking on phone falls off bridge, dies"
3686,01,negative,12-year-old boy killed as 2kg cracker lands on head
7226,01,negative,"Another Indian techie found dead in US: This time, it's a Cognizant worker"
1862,01,positive,"Fog, Jharkhand Tribal Protest Hit Train Services In West Bengal"
4543,01,negative,"Today's News Headlines in India, Breaking News, Current Affairs, English News"
2577,01,negative,"""Go To Pakistan Border, Won't Give Land In South Mumbai"": Nitin Gadkari Tells Navy"
1159,01,negative,"Why silence on mass cow deaths in MP, Congress questions PM Narendra Modi, RSS chief"
3618,01,positive,Four Pakistani soldiers killed in Indian fire across tense Kashmir frontier
3017,01,negative,BJP members protesting against Siddaramaiah detained in K'taka
761,01,negative,SP youth wing workers protest Saini’s ‘Hindustan for Hindus’ rant
2219,01,negative,"Cow vigilantism a 'nasur' for India, says Indian-origin Tanzanian lawmaker"
1283,01,negative,"5 Delhi Public School, Indore students killed as school bus collides with truck"
6303,01,negative,None quite like the cow
4603,01,negative,"To protest harassment, Indian women donate the clothes they wore"
7636,01,positive,SIT granted more time to probe illegal mining cases
1906,01,negative,Cable biz rivalry led to Sena man’s killing?
5579,01,negative,'Larger dams needed to increase water storage capacity'
5558,01,negative,Padmaavat row: Protestors vandalise shops in Gurugram mall
4049,01,negative,"In Budget 2018, India wants more tax relief, funds for job-oriented skills: Survey"
7350,01,negative,Telangana techie found dead in apartment in Texas
1821,01,negative,Italy court acquits two executives in AgustaWestland chopper case
633,01,negative,Killing of soldiers in terror attacks an insult: Mulayam
585,01,negative,"Cattle slaughter ban, GM & pollution issues kept environment"
1815,01,negative,Fed up with stray dog attacks Ghaziabad residents to carry out protest march
6180,01,negative,"CCTV Will Show Those Behind ""Padmaavat"" Protest: Akhilesh Yadav Targets BJP"
6541,01,negative,Kashmir protests mar India’s Republic Day
6107,01,negative,"Padmaavat protests: Vandalism in Udaipur, protests in other places in Rajasthan"
6837,01,positive,BSF beats dead Bangladeshi youth in Lalmonirhat
4571,01,negative,India can't be baffled by Pak's cowardice act: Nirmal Singh
2320,01,negative,2 caught hiding Rs 1.72 cr foreign currency in shoes at Kolkata airport
535,01,negative,Dalit protests cause disruptions in Mumbai
149,01,negative,Hindu Sena holds protest against Palestinian Ambassador to Pak for sharing stage with Hafiz Saeed
16,01,negative,"India’s censors clear Bollywood movie, objectors say protests to continue"
2386,01,negative,"As H-1B visa regulations keep flip-flopping in the US, has it remained a land of opportunity for Indians?"
3346,01,negative,False stories about agriculture could have a devastating effect
473,01,negative,Maharashtra burns as Pune caste clash fire spreads
1904,01,negative,India: 16-year-old killer denied bail in Ryan Murder Case of seven-year-old Pradyuman Thakur
4608,01,negative,"Anger, panic as gangsters kill three schoolchildren"
4115,01,negative,Electric Vehicle sector lures Indian firm to Midlands technology park
4634,01,positive,HC Bench upholds order directing TN Govt to halt sand mining
2274,01,negative,Netherlands fair showcases major Indian tourist spots
2186,01,negative,Finnish woman found dead in Chennai
2481,01,positive,Infra development conflicts with wildlife conservation: Expert
1958,01,negative,PWC Teachers Protest College's Autonomous Status
5146,01,positive,Commerce Ministry wants no price curbs on most farm exports
3494,01,negative,"As Rajasthan cops land in Ahmedabad to arrest Togadia, he goes"
4683,01,negative,‘Long-term tax could kill cult of equity investment in India’
6141,01,negative,"Protesting Padmaavat Release, Karni Sena Protestors Set Fire To Fellow Activist’s Car In Bhopal"
5857,01,negative,"Pioneering Web Development Company Graphics Merlin Successfully Completes 2 Years In Business, Celebrations Begin!"
3004,01,positive,Dalits in Ambalapattu attacked by upper-caste Kallars on New Year’s eve
1077,01,negative,Journalist killing spree continues in India
6779,01,negative,"Thick fog engulfs Delhi, disrupts train services"
6512,01,negative,Lawyer killed as truck hits car
150,01,negative,"3 labourers killed, 2 injured as part of crane collapses at construction site in Mumbai"
5220,01,negative,Gold Coast Bulletin
6329,01,negative,"Padmaavat out, protests continue"
5734,01,positive,Maharashtra mulls separate MSP for crops to address agrarian crisis
2042,01,positive,Four sand mining sites to be leased out in Ghaziabad’s Loni
2584,01,negative,"Assembly polls in Tripura, Meghalaya, Nagaland: EC may announce dates tomorrow"
1682,01,negative,Bhima-Koregaon caste violence: Prakash Ambedkar plans to encash on Dalit unity in Karnataka elections
1580,01,negative,"Sebi bans Active Rural Development, 4 directors for 4 yrs"
4663,01,negative,Some headway in airport shifting issue: IndiGo tells HC
6334,01,negative,"Mumbai police foil protests against Padmaavat, detain 150 persons"
6188,01,negative,Hindu outfits stage protest in TN against 'Padmaavat'
1296,01,negative,3rd meeting of Council for Trade Development and Promotion on January 8
5834,01,negative,Mesosphere Partners with TCS to Enhance Data Services and Infrastructure Management Capabilities
7239,01,positive,Bamboo cultivation can boost farmer income says Gadkari
6125,01,negative,Padmaavat release LIVE updates: MP theatre owners decide not to show the movie for now
1840,01,negative,The world's most punctual airports and airlines
590,01,negative,Dalits call off Maharashtra bandh after bringing state to its knees
4087,01,negative,Minister of State for Coal and Mines Inaugurates Bottling Plant
1788,01,negative,Road construction issue in Arunachal Pradesh with China resolved: Army Chief
6251,01,positive,Ethanol production will make farmers prosperous: Nitin Gadkari
5099,01,negative,Dharmendra Pradhan takes part in cyclothon to promote fuel
713,01,negative,"Russian military helicopter crashes in Syria, killing 2 - Agencies"
5967,01,negative,"After a year’s delay, alternative roads to KIA likely to see a March opening"
6300,01,negative,Filinvest-JG Summit proposal for Clark airport to go before ICC
1461,01,negative,J&K: Avalanche kills 11 in Kupwara district
6477,01,positive,"“Developing skills of ITI Pass-outs in Mining industry, an extension of PM’s Skill India Mission” KP Krishnan, Secretary, m/o Skill Development & Entrepreneurship"
7638,01,negative,Mumbai man’s dying declaration sends his killers to prison for life
1670,01,negative,"11 killed after truck hits three-wheeler, crushes car in UP"
4093,01,negative,Caste conflicts in India; Dalits threaten protests after 22-year-old attacked by Hindu group activists
6706,01,positive,Karnataka ready for talks with Goa on Mahadayi water: Siddaramaiah
1817,01,negative,"Spices Board urges farmers, exporters to market their products with GI labels"
6498,01,negative,"LPAI, Tripura govt look to make Agartala land port a tourist spot"
2711,01,negative,"51 killed, 9k injured in unrest after Burhan's killing: JK govt"
3473,01,negative,Left parties protest against Israel PM
690,01,negative,"Maharashtra bandh turns violent; rail, road traffic hit"
5651,01,negative,Protests in Uttar Pradesh over 'Padmaavat' release
5253,01,negative,"Today's News Headlines in India, Breaking News, Current Affairs, English News"
2737,01,negative,Kejriwal blames BJP-RSS for caste tensions in Maharashtra
675,01,negative,Iran holds pro-government rallies after 6th day of protests
596,01,positive,Chinese troops intrude into Arunachal with road-building equipment; stopped by Indian Army
5627,01,negative,Khatron Ki Khiladi Nia Sharma takes a sly dig at protestors against Deepika Padukone starrer Padmaavat
177,01,negative,Man held for killing wife’s ‘lover’
7294,01,negative,Will farmers' issues derail BJP's campaign in MP?
6688,01,negative,India is committed to provide all support to Cambodian Agriculture Vice
3540,01,negative,The Story Behind The World's Youngest Serial Killer
6231,01,negative,Normalcy returning on Thane road where gas tanker overturned
2157,01,positive,"Why atrocities on Dalits, minorities, farmers? Mevani to PM in Delhi rally"
651,01,positive,How AP’s Tekulodu Became a Model Village From A Hamlet
7353,01,negative,Kashganj violence: Home ministry seeks report from Uttar Pradesh govt on communal clashes that killed one
3920,01,negative,BWSSB plans to upgrade 54 water pumps
4427,01,negative,Three States: election in a changing political landscape
3242,01,negative,Political instability may damage process of prosperity: Ahsan
6214,01,negative,Chinese steel win domestic iron ore pricing in some 2018 contract
5097,01,negative,Coweta Community Foundation awards educational grants
4060,01,negative,Bangladeshi arrested in border village in Jammu
7340,01,positive,Bellandur lake fire: Green court orders apartments in catchment area to build STPs
4081,01,negative,Israel brought revolution in agriculture sector: PM Modi
5215,01,negative,Minister 'dog' slur after Dalit protest
2007,01,negative,PM Narendra Modi
211,01,negative,Nine killed in prison riot in Brazil's Goias state
5328,01,negative,Microland Opens State Of The Art Digital Operations Center In Pune Latest News
69,01,positive,J&K Police Constable's 16-Year-Old Son Was One Of JeM Militants Killed In CRPF Camp In Pulwama
4517,01,negative,Cartoon Network supports Mumbai Traffic Police’s Annual Road Safety Patrol Rally
3787,01,negative,Are you a robot?
331,01,negative,"NSA Ajit Doval, Pakistani counterpart met in Thailand on 27 December, issues across LoC discussed"
2630,01,negative,Riot blame on Vadhu protest rally
2878,01,positive,Low Narmada Dam water level forces Gujarat to curtail rabi season sowing
1175,01,negative,"Bhima-Koregaon Violence: RSS Chief Mohan Bhagwat Asks Indians to Shun Caste Bias and Unite for 'Motherland', Cites Annadurai Example"
4846,01,negative,"ABVP member killed in Kannur: BJP seeks ban on SDPI, says will approach Centre if Kerala govt fails to act"
1501,01,negative,Man hacked to death in broad daylight
6866,01,negative,"BSNL stops free Sunday calls on landlines, CalTel for new plan"
3826,01,negative,Skirmishes in Kashmir kill four as India and Pakistan trade fire
4597,01,negative,"Pune techie kills wife, 4-yr old son, commits suicide"
316,01,negative,Terrorists Attacked CRPF Camp In Kashmir To Avenge Jaish Commander's Killing: Police
3189,01,negative,Caste based promotions struck down by Bombay High Court
1660,01,negative,Togadia lashes out at BJP govts over cow protection
3463,01,negative,Six convicted in 2013 Sonai ‘honour’ killings case
7031,01,negative,Siddipet techie found dead in his room in Dallas
3444,01,negative,"Danger of conflict between Pakistan, India growing, says Pakistani daily"
4951,01,negative,At least 17 killed in New Delhi factory fire
925,01,negative,"Awareness key to resolving caste issues: German academician tells Centre, police"
5348,01,positive,"Bangalore: Massive Fire In Bellandur Lake, Timely Intervention Of Army Rescues The Lake"
6220,01,negative,Minor rape survivor commits suicide in Odisha; 2nd incident in 72 hours
5847,01,negative,"Meerut: Mother and son killed by relatives, crime caught in CCTV"
5613,01,negative,The Open Water Data Paper
1824,01,positive,"India, Nepal reach agreement to resolve border issues, reconstruct damaged pillars along boundary"
6305,01,negative,TSRTC skill centre hits fund hurdle
1150,01,negative,Bhima Koregaon: Accused right wing leader Sambhaji Bhide says he is innocent
2420,01,positive,"16,606 Farm Suicides in 15 years in Punjab; 87% Deaths Owing to Debt: Report"
4347,01,negative,Lucknow Police detains class 6 girl for stabbing class 1 boy in Brightland School
4141,01,negative,SIT to probe cases of illegal iron ore export from four ports
3480,01,positive,Be a #FarmDost’ celebrates Indian farmers this harvest season
4790,01,negative,"Man Declared Dead By Hospital Was Alive For 8 Hours In Mortuary, Autopsy Report Reveals"
7185,01,negative,Minister sets deadline for GVMC works
584,01,negative,"Indian-origin CEO charged for hoax bomb threat to airport, says he was asking for BOM-DEL flight"
7368,01,negative,Varun Dhawan fulfils childhood dream; Unveils his wax figure in Madame Tussauds Hong Kong (see pics)
1190,01,positive,"Maha in 2017: Of stampede, fire tragedy & agrarian issues"
3573,01,negative,"Today's News Headlines in India, Breaking News, Current Affairs, English News"
4364,01,negative,"In a first, Nitish Kumar to campaign for BJP-JD (U) alliance in Nagaland"
6466,01,negative,"ASEAN 2018: India, Laos discuss development aid, trade"
4827,01,negative,My Government's Only Agenda for Budget is Development: PM Modi to Zee News
3753,01,negative,"Police constable opens fire, 3 killed in Daund"
1053,01,negative,6th BATCH OF 120 ITI/DIPLOMA PASS-OUTS HAS JOINED HINDUSTAN ZINC MINING ACADEMY
5927,01,negative,BHRRC: an expanding resource for corporate accountability
3612,01,negative,7 celebrities you'd never guess would be cast as killers on 'Perry Mason'
6206,01,negative,Tender inviting concessionaires for Jewar airport likely in August
6335,01,negative,Another brain-dead man turns saviour for four
3087,01,positive,Fraudster lands in police net
1419,01,negative,"‘Serial killer’ held in Patiala, police say auto-rickshaw driver killed 7 in 22 years"
7322,01,negative,Rs 3400 crore for airports in the North East
6163,01,negative,"Today's News Headlines in India, Breaking News, Current Affairs, English News"
3777,01,negative,"Indian killed, 13 injured in accident in Nepal"
5196,01,negative,Citizens join hands with police for road safety awareness
1814,01,negative,Protest outside Pakistan embassy in US over ‘inhumane’ treatment of Kulbhushan Jadhav’s family
1382,01,negative,UN rights office warns DR Congo authorities against use of excessive force when policing protests
7504,01,positive,BJP councillor in South Delhi wants slaughterhouses near IGI Airport sealed
6535,01,negative,13 killed as bus with pilgrims falls into river in Maharashtra’s Kolhapur
4166,01,negative,'Dead' case sparked Togadia trouble
5489,01,negative,"India Pakistan border: Death threat, survival are everyday realities in this Jammu and Kashmir village, read chilling accounts"
5804,01,positive,NSCN-IM against Assembly polls in Nagaland
4819,01,positive,6 get death for 2013 Maharashtra honour killings
5262,01,negative,"Brightland Case: I am Innocent, Want The Real Culprit to be Punished, Says Girl Accused of Stabbing Class I Student"
1545,01,negative,Road construction gathers pace in areas surrounding Lumbini
5930,01,negative,Have You Brought Back Black Money from Switzerland in Your Plane: Rahul Gandhi’s Jibe at PM Narendra Modi
504,01,negative,Bhima Koregaon violence: BJP accuses Rahul of provoking caste violence for political gains
98,01,negative,"India, Pakistan NSAs held 'secret' meeting in Thailand after Kulbhushan Jadhav's meeting with family"
1882,01,positive,Agra farmers fret as tuber glut looms
5563,01,negative,"After Violent Protests, Karni Sena Has Finally Agreed To Watch 'Padmaavat' Ahead Of Release"
7317,01,negative,Rubique announces strategic partnership with Optacredit
837,01,negative,Pak snipers kill BSF soldier on his birthday
7169,01,negative,"36 dead, many missing in Murshidabad bus mishap"
4043,01,negative,Delhi: 28-yr-old doctor from TN found dead in rented apartment
4391,01,positive,Govt. nod for relocation of two villages under Project Tiger
7201,01,negative,Sun Pharma Advanced Research Co. commits $10 million to drug development
1730,01,negative,"Indians, Afghans, Balochs protest outside Pakistan embassy against Kulbhushan Jadhav's family treatment"
1411,01,negative,ED attaches 348 acres of land in Coal Block case of BLA Industries
4037,01,negative,Indian shrimp farms likely to be main concern of EU inspections
6478,01,negative,India's 69th R-Day observed in Netherlands
3415,01,negative,Pak says 4 soldiers killed by India along LoC
3771,01,negative,Development Seminar @ Brookings India: Indian Migration to the United States
2378,01,negative,Tata Institute of Fundamental Research: Of men and matter
4516,01,positive,Hot Potato! No end of woes as Uttar Pradesh farmers face the problem of the plenty
1324,01,positive,"Harvesting Rainwater, Serving Meals to Children and More Social Sustainability in India"
413,01,negative,"As Dalit protests hit Mumbai, Ambedkar’s grandson calls for state bandh tomorrow"
5422,01,negative,Violent protest against 'Padmaavat' release in Mumbai affects traffic
1265,01,positive,India stood firm on its stand on fundamental principles of WTO
5134,01,positive,"4 killed, 9 injured in blast at a chemical plant in Vadodara"
4084,01,negative,"Jind rape case: Suspect, a class 12 boy, found dead and mutilated"
5379,01,positive,Ashok Leyland to invest Rs 400 crore in LCV platform
5235,01,positive,"Nepali owners can use land lost in fresh demarcation, says govt"
1173,01,negative,Bheem Army protests violence against Dalits in Maharashtra
3149,01,negative,Pune builder shot dead outside his home in city's Prabhat Road
673,01,positive,"Cabinet approves India, Myanmar agreement on Land Border Crossing"
1315,01,negative,ICAR-CIFA organises conference on Improving Income of Farmers through Agriculture and Aquaculture
6148,01,negative,Violent Protests In India Follow Release Of Controversial Bollywood Epic
5041,01,positive,Nitish Kumar-led Bihar forms state-wide human chain to protest dowry menace
2389,01,positive,"Corpn violates norms, okays construction on waterway"
5674,01,positive,"Bamboo cultivation can boost farmer income, says Gadkari"
5999,01,positive,Environment ministry adopts new plan to rejuvenate rivers
1010,01,negative,"Mumbai Crime: Man inappropriately touches woman jogger at Santacruz, nabbed"
4114,01,negative,"Delhi: Man held for killing son, wife; had been planning murder for 5-6 months"
17,01,negative,"Delhi development projects for 2018: Check out new metro line, skywalk, DDA flats, varsities, schools"
6485,01,negative,"Protests, counter protests outside Indian High Commission mark R-Day in London"
5486,01,negative,Rajput Karni Sena
6880,01,negative,Replica of hand grenade recovered at Mumbai Airport
4272,01,negative,"Tripura, Meghalaya & Nagaland Assembly Elections 2018: All You Need to Know"
2692,01,negative,"India, Pak trade fire along LoC in north Kashmir; soldier injured in landmine blast"
4085,01,positive,How Adoption Of Blockchain Technology Will Revolutionise Agriculture
3131,01,negative,"Modi govt unleashing vicious vendetta against opposition, says Chidambaram on ED raids"
6108,01,positive,Budget 2018: Will agriculture income be brought under tax net? Here’s what top fund managers say
1747,01,negative,Five employees killed as fire breaks out in resto-bar
1134,01,negative,Killing of U.S. Soldier Stiffens Trump's Resolve on Pakistan
3761,01,negative,Weavers Of Mising Tribal Community In Assam Intertwine Technology With Traditional Skills
1520,01,negative,Cop hurt in land clash in Howrah
2956,01,negative,At least four dead after boat carrying 40 school children capsizes in India
6198,01,negative,"Road blockade, march against 'Padmaavat' in Bihar"
4675,01,negative,"Techie, wife and 4-year-old son found dead in Baner flat"
6076,01,negative,"Yogi Adityanath Orders UP Police To Be Tough On ""Padmaavat"" Protesters"
4299,01,negative,"CM Fadnavis welcomes Israeli PM to Mumbai, seeks help to ‘change the face of agriculture’"
2523,01,positive,Gulkin: Global farmed shrimp prices likely stable until March increases
5176,01,positive,Hanjura calls for adopting latest farm technology
945,01,negative,UP govt has started process of acquiring land for Jewar Airport: Centre
393,01,negative,Ex-Indian army officer kills six with iron rod
6895,01,negative,Mumbai airport least punctual among metros for 7 months of 2017
987,01,negative,Donald’s Damning Dollars: Analyzing the Economics of Trump’s Misplaced Rant Against Pakistan
5032,01,negative,"Former CAG Vinod Rai Was 'Contract Killer', Hired to Kill UPA-2 Government: A Raja"
2709,01,negative,Padmaavat Row: Gujarat Bans Release of Movie on January 25 After Protests
5727,01,positive,Database of land records holds the key
1619,01,negative,P. Chidambaram urges BJP govt to shun militaristic approach
5413,01,negative,Roads notification: Civic bodies submit details to Delhi govt
5518,01,negative,"SC to hear pleas of MP, Rajasthan against Padmaavat release as protests intensify"
137,01,negative,Three labourers dead as part of JCB machine falls on them
6306,01,negative,Abusive teacher arrested after Class 8 girl Zaibunnisa found dead in hostel room
3507,01,negative,Mumbai Crime: 25-year-old kills friend over 'langda' joke
1929,01,negative,Karnataka: Man kept in mortuary for hours before he was dead
689,01,negative,UPSC Forest Services IFS Main Dec 2017 Result announced
1813,01,negative,Residential status is dynamic and has to be determined each year
6253,01,negative,Chittorgarh peaceful amid Padmaavat protests elsewhere
3363,01,positive,Rahul Gandhi should focus more on politics of development: Yogi Adityanath
694,01,negative,"AI, data science and other fields Indian techies can skill themselves in to survive the IT bust"
1606,01,negative,Cluster Pulse launches smart village project in State
4952,01,negative,CJI to head Loya killing case
759,01,negative,How Can I Relieve Pain Without Painkillers?
7210,01,negative,"Shopian killings divide Govt, unite Opposition"
5503,01,positive,The Draft Model Contract Farming Act 2018
4285,01,negative,Israeli forces kill suspect in rabbi's murder in West Bank
6160,01,negative,"Not humans, but dogs protest for animal rights at UN HQs"
3530,01,negative,"The Marriage Algorithm, India's Caste-Conscious Answer To Tinder"
5573,01,negative,"Triple talaq bill is tactic to bring women on road, send men to prison: Owaisi"
3770,01,positive,"Three spectators attacked, killed by bulls during Jallikattu in Tamil Nadu"
1617,01,negative,Air India Flight Makes Emergency Landing In Mumbai: Report
3510,01,negative,Pak Summons Indian Envoy To Protest Soldiers' Deaths In Firing
190,01,positive,Two corporators suggest white coal cremations to avoid pollution
4306,01,negative,Sunny Leone to set Delhi on fire as her figure will join Madame Tussauds
5147,01,negative,Migrant worker found dead in Jaipur
2321,01,negative,"Big BJP victory vital for peace, development in Nagaland: Kiren Rijiju"
6584,01,negative,Punjab's most-wanted gangster Vicky Gounder killed: A look at the other five escapees from 2016 Nabha jailbreak
6811,01,negative,"Mumbai Shocker! Man sucked into MRI machine, killed; Rs 5 lakh compensation to deceased kin by CM Fadnavis"
2183,01,negative,Youth kills Andhra girl for spurning his love
4763,01,positive,Bellandur lake : NGT wants time bound action plan
1974,01,negative,Halfway House murder trial: Diner owner 'died in revenge killing'
2817,01,negative,Abu Dhabi-bound flight lands at Mumbai airport after medical emergency
84,01,positive,"Doklam standoff, Gorkhaland stir put Sikkim on national stage"
330,01,negative,2-hour killing spree: Retired captain bludgeons 6 to death in Haryana
6900,01,positive,State to make ‘Give it up’ appeal to rich farmers
5414,01,negative,Hugplomacy: Rahul asks PM Modi to hug farmers too
4970,01,negative,"IT engg, wife, kid found dead in Pune"
721,01,negative,BSF jawan killed on his birthday in unprovoked firing by Pakistan
1450,01,negative,"Adopted by governor, ‘smart’ village rues lack of facilities"
4651,01,negative,"Pakistan envoy summoned after 2 BSF, 3 civilians killed on border in 48 hours"
3452,01,positive,Four Pakistani soldiers killed in Indian fire across tense Kashmir frontier
4127,01,negative,"Industry-agriculture balance needed for growth, says West Bengal CM Mamata Banerjee"
3351,01,negative,"'Pakistan contacted India to protest Bipin Rawat's comments', says a media report"
7432,01,positive,NGO moves NGT over waste discharge into Mumbai water bodies
1614,01,negative,Why haggling should be an essential life skill
5171,01,negative,Modi visit: Vatal calls for protest in Bengaluru on Feb. 4
3512,01,positive,Customs arrest two people at Guwahati airport for smuggling gold in rectum
3124,01,negative,"Girl abducted from Ghaziabad, ‘raped’ and killed in Meerut"
7199,01,negative,36 dead as bus plunges into canal
2463,01,negative,Nagaland CM briefs on Rajnath Singh on popular demand for 'solution before election'
4834,01,negative,UP CM announces aid for kin of BSF jawan killed in Pak firing
1369,01,negative,How skilled are you? Centre plans a four-month survey to ascertain ability
5249,01,positive,Ease rules for exploration and mining of minerals: Vedanta to govt
7022,01,negative,Tamil Nadu bus fare hike: DMK leads Opposition protests to demand full rollback; police detains MK Stalin
701,01,negative,Indian caste protests hit Mumbai
6389,01,negative,"Republic Day 2018: Delhi Traffic Police Issues Advisory, Restricts Movement on Certain Roads"
157,01,negative,Cops hone communication skills to help pilgrims at Magh Mela
4324,01,negative,SAT to hear Price Waterhouse's pleas against Sebi tomorrow
2237,01,negative,Mogul News: The best journalism in one app
3311,01,negative,Kolkata: 70-year-old Woman Found Living With Dead Husband For Four Days
1209,01,negative,The dark history of “pariah”
4151,01,negative,"‘Must list’ of Trump for immigrants: Eng, skills"
2490,01,negative,VVIP chopper deal: Court allows Dubai-based firm director's plea to go abroad
524,01,negative,Doctors stage protest against NMC Bill
5345,01,positive,World Economic Forum 2018: KT Rama Rao seeks Telangana-NRIs partnership in state's development
2901,01,negative,"Kidnapped, head smashed, left for dead: Student found alive 5 days later in Indore"
7152,01,negative,BJP suspends members over move to defer Nagaland polls
3079,01,negative,Donald Trump's broadside on Pakistan
6907,01,negative,60 booked for blocking road
5093,01,positive,"Vadodara: 4 killed, 12 injured in blast at chemical plant"
2882,01,negative,"INX media bribery case: ED raids Karti Chidambaram’s Delhi, Chennai houses"
1913,01,negative,'My life is also ruined': Drink-driving killer Puneet Puneet 'begs for pardon from victim's families'
2034,01,negative,Possible breakthrough for LGBT rights in India as top court agrees to re-examine ban on gay sex
445,01,positive,DMK’s black flag protest greets Governor in Thanjavur
5012,01,negative,"Rebel rejoins Congress, triggers protest in rival MLA’s camp"
1446,01,negative,A blueprint for India’s ‘Smart Villages’
2303,01,positive,State mulls new airport in capital
5836,01,negative,Anti-Padmaavat protests: Delhi CM Kejriwal says such incidents will drive away investors
7272,01,negative,Korean national arrested with 15 kg gold at Mumbai airport
1668,01,positive,"Secret land deal may unseat Cardinal George Alencherry, head of Syro-Malabar Catholic Church"
121,01,positive,"As 24-hour free power supply begins to flow to Telangana farmers, KCR rewards electricity employees"
144,01,negative,"Pune: 1 dead in violence at Bhima Koregaon, Athawale seeks govt protection"
3728,01,negative,Nepal’s Organic Manure Could Work Wonders For Indian Farmers
5254,01,positive,"Union Budget 2018 | Rich Farmers Should Also be Taxed, Says RSS-Inspired Chartered Accountants' Body"
